jd_id,normalized_jd,jd_summary,clean_jd
237,"requirement bachelor degree from reputable university in law, psychology, human resources management, gpa minimum three point zero, minimum ten years work experience as human resources and general affairs manager, understanding ISO 9001:2015 system, able to create human resources and general affairs procedure, mastering human resources system, compensation and benefits strategy, grading system, job evaluation, salary structure, recruitment system, performance management, ability to design human resources competency matrix based on training needs analysis, understanding labor law, understanding asset management, must be knowledgeable in Microsoft Office applications, presentation skills, good interpersonal skills, communication fluent in English spoken and written, strong analytical thinking, detail-oriented, disciplined, able to work individually and in teamwork, strong motivation, good personality, hardworking, able to work under pressure, willing to be placed in Jati Uwung, Tangerang. job description: establish, manage, and maintain employee industrial relations with a conducive positive climate in accordance with government laws, regulations, company regulations, policies, and procedures; plan, develop, and review within standard operating procedures of human resource management; responsible for service personnel administration including payroll, leave, sick leave, medical expenses, meal and transport expenses; responsible for general affairs, security, building maintenance, transportation, assets, and others; organize, coordinate, and monitor the process of employee performance appraisal; administer and set processes for recruitment, promotion, movement, transferring, rotation, mutation, termination, retirement, and rehire.","{
  ""title"": ""Human Resources and General Affairs Manager"",
  ""years_experience_required"": 10,
  ""education_required"": [""Bachelor's degree in Law"", ""Bachelor's degree in Psychology"", ""Bachelor's degree in Human Resources Management""],
  ""key_skills"": [
    ""Human resources system management"",
    ""Compensation and benefits strategy"",
    ""Grading system"",
    ""Job evaluation"",
    ""Salary structure"",
    ""Recruitment system"",
    ""Performance management"",
    ""Designing competency matrix based on training needs analysis"",
    ""Understanding labor law"",
    ""Asset management"",
    ""Presentation skills"",
    ""Fluent English communication"",
    ""Analytical thinking""
  ],
  ""tools_software"": [""Microsoft Office""],
  ""responsibilities"": [
    ""Establish, manage, and maintain employee industrial relations in compliance with laws, regulations, and company policies"",
    ""Plan, develop, and review human resource management standard operating procedures"",
    ""Manage personnel administration including payroll, leave, sick leave, medical expenses, meal and transport expenses"",
    ""Oversee general affairs including security, building maintenance, transportation, and assets"",
    ""Organize, coordinate, and monitor employee performance appraisal processes"",
    ""Administer recruitment, promotion, transfer, rotation, mutation, termination, retirement, and rehire processes""
  ],
  ""requirements"": [
    ""Bachelor's degree from a reputable university in Law, Psychology, or Human Resources Management"",
    ""Minimum GPA of 3.0"",
    ""Minimum 10 years of experience as a Human Resources and General Affairs Manager"",
    ""Understanding of ISO 9001:2015 system"",
    ""Ability to create human resources and general affairs procedures"",
    ""Knowledge of labor law"",
    ""Knowledge of asset management"",
    ""Proficiency in Microsoft Office"",
    ""Fluent in English spoken and written"",
    ""Willingness to be placed in Jati Uwung, Tanger",requirement bachelor degree form reputable university law psychology hr management gpa min three zero minimum ten year work experience hrd ga manager understanding iso nine thousand one two thousand fifteen system able make hrd ga procedure mastering hr system compensation benefit strategy grading system job evaluation salary structure recruitment system performance management ability design hr competency matrix based tna training need analysis understanding labor law understand asset management must knowledgeable msoffice application presentation skill good interpersonal skill communication fluent english spoken written strong analytical thinking detailed disciplined able work individually teamwork strong motivation good personality hardworking able work pressure willing placed jati uw ung tangerang job description establish manage maintain employee industrial relation conducive positive climate accordance government law regulation company regulation policy procedure plan develop review within standard operating procedure human resource management responsible service personnel administration including payroll leave sick medical expense meal transport expense responsible general affair security building maintenance transportation asset others organize coordinate monitor process employee performance appraisal administer setting process recruitment promotion movement transferring rotation mutation termination retirement rehire
238,Job description duty responsibility lead manage Human Resources function including handling policy procedure coordination area recruitment organizational development training performance management industrial relation develop maintain corporate culture drive Human Resources program initiative line corporate objective recommend Board of Directors appropriate implementable compensation benefit facility system conduct periodic evaluation compensation benefit facility system ensure Human Resources Development administration process including Manpower Planning recruitment training employee relation performance management employee work contract remuneration run accurately efficiently manage employee recruitment selection process develop implement training development program supervise employee performance assessment develop Key Performance Indicators matter related performance management monitor organizational activity run smoothly design evaluation performance team employee update company evaluation report evaluation result Board of Directors qualification maximum age forty year last education Bachelor degree Psychology Law Human Resource Management experience field minimum five year able operate Microsoft Office Microsoft Word Microsoft Excel Microsoft PowerPoint Outlook communication administration skill good knowledge employment law industrial relation honest communicative assertive neat careful,"{
  ""title"": ""Human Resources Manager"",
  ""years_experience_required"": 5,
  ""education_required"": [""Bachelor's degree in Psychology"", ""Bachelor's degree in Law"", ""Bachelor's degree in Human Resource Management""],
  ""key_skills"": [""Human Resources management"", ""policy and procedure coordination"", ""recruitment"", ""organizational development"", ""training"", ""performance management"", ""industrial relations"", ""corporate culture development"", ""compensation and benefits management"", ""manpower planning"", ""employee relations"", ""KPI development"", ""communication skills"", ""administration skills"", ""employment law knowledge""],
  ""tools_software"": [""Microsoft Word"", ""Microsoft Excel"", ""Microsoft PowerPoint"", ""Microsoft Outlook""],
  ""responsibilities"": [""Lead and manage Human Resources function"", ""Coordinate policies and procedures"", ""Drive HR programs and initiatives aligned with corporate objectives"", ""Recommend and implement compensation, benefits, and facility systems"", ""Conduct periodic evaluation of compensation, benefits, and facilities"", ""Ensure accurate and efficient HR administration processes"", ""Manage recruitment and selection processes"", ""Develop and implement training and development programs"", ""Supervise employee performance assessments"", ""Develop Key Performance Indicators for performance management"", ""Monitor organizational activities"", ""Design and evaluate team and employee performance"", ""Update company evaluation reports and present results to Board of Directors""],
  ""requirements"": [""Maximum age of 40 years"", ""Bachelor's degree in Psychology, Law, or Human Resource Management"", ""Minimum 5 years of experience in Human Resources"", ""Proficiency in Microsoft Office applications"", ""Good knowledge of employment law and industrial relations""]
}",job description duty responsibility lead manage hr function including handling policy procedure coordination area recruitment organizational development training performance management industrial relation develop maintain corporate culture drive hr program initiative line corporate objective recommend board director appropriate implementable compensation benefit facility system conduct periodic evaluation compensation benefit facility system ensure hrd administration process including mpp recruitment training employee relation performance management employee work contract remuneration run accurately efficiently manage employee recruitment selection process develop implement training development program supervise employee performance assessment develop kpis matter related performance management monitor organizational activity run smoothly design evaluation performance team employee update company evaluation report evaluation result board director qualification maximum age forty year last education bachelor degree psychology law human resource management experience field minimum five year able operate msoffice msword m excel m powerpoint outlook communication administration skill good knowledge employment law industrial relation honest communicative assertive neat careful
239,"Organize and maintain personnel records, update internal databases, for example, sick and maternity leave records, prepare Human Resources documents like employment contracts and new hire guides, liaise with external partners like insurance vendors, ensure legal compliance, answer employee queries on Human Resources related issues, assist the payroll department by providing relevant employee information, for example, leave of absence, sick days, work schedules, arrange travel and accommodation, process expense forms.  

Requirement: Proven work experience of at least two years as a Human Resources Administrator or Human Resources Administrative Assistant, relevant role experience, Human Resources software, Human Resources Information System, Human Resources Management System, computer literacy in Microsoft Office applications in particular, thorough knowledge of labor law, excellent organizational skills, ability to prioritize important projects, strong phone, email, and in-person communication skills, bachelor's degree in Human Resources, psychology, or a relevant field.","{
  ""title"": ""Human Resources Administrator"",
  ""years_experience_required"": 2,
  ""education_required"": [""Bachelor's degree in Human Resources"", ""Bachelor's degree in Psychology"", ""Bachelor's degree in a relevant field""],
  ""key_skills"": [""organizational skills"", ""prioritization"", ""communication skills"", ""knowledge of labor law""],
  ""tools_software"": [""Human Resources software"", ""Human Resources Information System"", ""Human Resources Management System"", ""Microsoft Office""],
  ""responsibilities"": [""organize and maintain personnel records"", ""update internal databases"", ""prepare Human Resources documents"", ""liaise with external partners"", ""ensure legal compliance"", ""answer employee queries on Human Resources issues"", ""assist payroll department with employee information"", ""arrange travel and accommodation"", ""process expense forms""],
  ""requirements"": [""proven work experience as a Human Resources Administrator or Human Resources Administrative Assistant"", ""experience with Human Resources software"", ""computer literacy in Microsoft Office"", ""thorough knowledge of labor law""]
}",job description organize maintain personnel record update internal database eg sick maternity leave record prepare hr document like employment contract new hire guide liaise external partner like insurance vendor ensure legal compliance answer employee query hr related issue assist payroll department providing relevant employee information eg leaf absence sick day work schedule arrange travel accommodation process expense form requirement proven work experience least two year hr administrator hr administrative assistant relevant role experience hr software hris hrms computer literacy m office application particular thorough knowledge labor law excellent organizational skill ability prioritize important project strong phone email person communication skill bachelor degree human resource psychology relevant field
240,"Looking for opportunity in Human Resources department, would like to work in a fast-paced dynamic environment. Interesting offer, main tasks include processing and monitoring salary structure and benefits, maintaining and distributing personnel record systems, ensuring payroll transactions are processed efficiently, collecting, calculating, and entering data in order to maintain and update payroll information, maintaining and updating employee attendance, maintaining and archiving Human Resources documents and personal employee documents, assisting recruitment activity. Qualification requirements: maximum thirty-two years old candidate must possess at least a Bachelor’s degree in Human Resource Management, Psychology, or equivalent. Required skills: PPh Twenty-One, salary structure, BPJS Health, BPJS Employment, Employment Creation Law. At least three years working experience in related field required for position. Comprehensive knowledge of a wide range of compensation: base pay, long-term incentive program, annual incentive program, sales compensation program, reward and recognition program, budget planning, experience handling and maintaining Human Resources Information System program, strong communication skills, proficient in Google Workspace, digital literacy, willing to work in South Jakarta. Join us, we offer job opportunity, career opportunity, entry-level position, conducive and transparent work atmosphere targeted to enable providing maximum capability for company development, also provide opportunity for every employee to increase personal capacity. Join us, we offer job opportunity, career opportunity, entry-level position, conducive and transparent work atmosphere targeted to enable providing maximum capability for company development, also provide opportunity for every employee to increase personal capacity.","{
  ""title"": ""Human Resources Staff"",
  ""years_experience_required"": 3,
  ""education_required"": [""Bachelor’s degree in Human Resource Management"", ""Bachelor’s degree in Psychology"", ""Equivalent degree""],
  ""key_skills"": [""PPh 21"", ""salary structure"", ""BPJS Health"", ""BPJS Employment"", ""Employment Creation Law"", ""compensation management"", ""budget planning"", ""HRIS management"", ""recruitment"", ""payroll processing"", ""employee attendance management"", ""document management""],
  ""tools_software"": [""Google Workspace"", ""Human Resources Information System""],
  ""responsibilities"": [""Process and monitor salary structure and benefits"", ""Maintain and distribute personnel record systems"", ""Ensure payroll transactions are processed efficiently"", ""Collect, calculate, and enter payroll data"", ""Maintain and update employee attendance records"", ""Maintain and archive HR and employee documents"", ""Assist recruitment activities""],
  ""requirements"": [""Maximum age 32"", ""Bachelor’s degree in relevant field"", ""At least 3 years of related experience"", ""Comprehensive knowledge of compensation programs"", ""Experience handling HRIS"", ""Proficient in Google Workspace"", ""Digital literacy"", ""Willing to work in South Jakarta""]
}",looking opportunity hr department would like work fast paced dynamic environment interesting offer main task include processing monitoring salary structure benefit time maintaining distributing personnel record system ensuring payroll transaction processed efficiently collecting calculating entering data order maintain update payroll information maintain update employee attendance maintain archive hr document personal employee document assist recruitment activity qualification requirement maximum thirty two year old candidate must posse least bachelor degree human resource management physic ology equivalent required skill pph twenty one salary structure time b pjs health b pjs employment employment creation law least three year working experience related field required position comprehensive knowledge wide range compensation base pay long term incentive program annual incentive program sale compensation program reward recognition program budget planning experience handling maintaining hris program strong communication skill proficient google workspace digital literacy willing work inte bet south jakarta join u offer job opportunity career opportunity level position conducive transparent work atmosphere target enable provide maximum capability company development also provide opportunity every employee increase personal capacity join u offer job opportunity career opportunity level position conducive transparent work atmosphere target enable provide maximum capability company development also provide opportunity every employee increase personal capacity
241,"Job qualification description: Minimum education Bachelor majoring in Psychology, Human Resources, or Law. Minimum one year experience in Human Resources payroll. Familiar with payroll system using Andal system. Able to understand Human Resources system operation. Familiar with Microsoft Office. Coordination and negotiation skill. Honest personality, good communication, analysis, disciplined, hard worker, meticulous, able to work individually or in a team, accustomed to working under pressure, time management. Vaccinated for COVID-19. Banyuasin placement, South Sumatra. Attention: Recruitment process branch PT Hokkan Delta Pack Industri is free of charge. If a candidate is asked to pay any sum of money during the recruitment process, it is surely fraud. The company is not responsible.","{
  ""title"": null,
  ""years_experience_required"": 1,
  ""education_required"": [""Bachelor in Psychology"", ""Bachelor in Human Resources"", ""Bachelor in Law""],
  ""key_skills"": [""coordination"", ""negotiation"", ""understanding of Human Resources system operation""],
  ""tools_software"": [""Andal payroll system"", ""Microsoft Office""],
  ""responsibilities"": [""Human Resources payroll management""],
  ""requirements"": [""COVID-19 vaccination"", ""placement in Banyuasin, South Sumatra""]
}",job qualification description minimum education bachelor majoring psychology hr law minimum one year experience hr payroll familiar payroll system using andal system able understand hr system operation familiar using msoffice coordination negotiation skill honest personality good communication analysis disciplined hard worker meticulous able work individually team accustomed working pressure time management vaccinated co vid nineteen ban yu placement south sumatra attention recruitment process branch pth ok kan delta pack industri free charge whatsoever candidate asked pay sum money recruitment process sure fraud responsible
242,pt trisakti palma diguna lamanda um main business fresh fruit bunch logistics plantation job description manage responsible human resources administration human resources operation personnel administration provide support business throughout employee lifecycle recruitment onboarding transfer promotion onboarding onboarding manage overall human resources operation function including administering employee attendance foreign employee document employee agreement law legal company procedure general administration rollout human resources initiative solution alignment regional human resources team business objective ensure legal compliance throughout human resources management review evaluate recommendation staff movement assessing team dynamic staff potential involved manpower forecasting budgeting exercise conduct appropriate review streamline manpower cost job requirement candidate must possess at least bachelor degree law psychology human resource management equivalent required language Indonesian English age twenty five thirty five year old at least four year working experience related field required position familiar BPJS health employment able work team individual pressure good managerial team communication skill multitasking detail oriented advanced Microsoft Excel skill strong employee relation industrial relation human resources generalist service required skill Excel organized human resources development software positive attitude thinking good level leadership able town visit Sumatra Kalimantan Sulawesi,"{
  ""title"": ""Human Resources Manager"",
  ""years_experience_required"": 4,
  ""education_required"": [""Bachelor's degree in Law"", ""Bachelor's degree in Psychology"", ""Bachelor's degree in Human Resource Management"", ""Equivalent""],
  ""key_skills"": [""Human resources operations"", ""Personnel administration"", ""Recruitment"", ""Onboarding"", ""Employee relations"", ""Industrial relations"", ""Manpower forecasting"", ""Budgeting"", ""Legal compliance"", ""Team management"", ""Communication skills"", ""Multitasking"", ""Detail orientation"", ""Leadership""],
  ""tools_software"": [""Microsoft Excel"", ""Human resources development software""],
  ""responsibilities"": [""Manage human resources administration and operations"", ""Support business throughout employee lifecycle"", ""Administer employee attendance"", ""Manage foreign employee documentation"", ""Administer employee agreements"", ""Ensure compliance with company procedures and legal requirements"", ""Roll out HR initiatives aligned with regional HR team and business objectives"", ""Review and recommend staff movements"", ""Assess team dynamics and staff potential"", ""Conduct manpower forecasting and budgeting"", ""Streamline manpower costs""],
  ""requirements"": [""Proficiency in Indonesian and English"", ""Age between 25 and 35 years old"", ""Familiarity with BPJS health and employment systems"", ""Ability to work in a team and individually under pressure"", ""Advanced Microsoft Excel skills"", ""Ability to visit towns in Sumatra, Kalimantan, and Sulawesi""]
}",pttrisaktipalmadigunal amanda um main business ffb logistics plantation job description manage responsible hr admin hr operation personnel administration provide support business throughout employee lifecycle recruitment boarding transfer promotion boarding boarding manage overall hr operation function including administering employee attendance foreign employee document employee agreement law legal company procedure general administration rollout hr initiative solution alignment regional hr team business objective ensure legal compliance throughout human recourse management review evaluate recommendation staff movement assessing team dynamic staff potential volved manpower forecasting budgeting exercise conduct appropriate review streamline manpower cost job requirement candidate must posse least bachelor degree law psychology human resource management equivalent required language indonesian english age twenty five thirty five year old least four year working experience related field required position familiar bp j health employment able work team individual pressure good managerial team communication skill multitasking detail oriented advanced microsoft excel skill strong employee relation industrial relation hrg service required skill excel organized hrd software positive attitude thinking good level leadership able town visit sumatra kalimantan sulawesi
243,people person firm disciplined responsible always think forward care Human Resources development increase efficiency effective carrying duty work become Human Resources Department Manager company willing placed Bang Kabel Tung area master recruitment interview employee training development process firm disciplined empathy kind others direct embrace team help provide solution especially conflict management duty responsibility mastering matter relating labor law applicable law ensuring company regulation always updated socialized run well coordinating employee recruitment system starting selection interview orientation prospective employee creating employee orientation training program observing improving Human Resources performance standard division job analysis creating new job description necessary required monitor performance division ensure performance appraisal process running able identify employee potential recommend area improvement periodically evaluate employee incentive bonus benefit program perform task assigned superior management relation Human Resources Department activity qualification minimum education bachelor degree three year experience position Human Resources Department Supervisor maximum age forty year facility salary allowance incentive according target achievement BPJS official vehicle application awaited later February twenty eight two thousand twenty two make sure read understand requirement job description qualification well submitting application make sure right candidate one looking,"{
  ""title"": ""Human Resources Department Manager"",
  ""years_experience_required"": 3,
  ""education_required"": [""Bachelor's degree""],
  ""key_skills"": [
    ""recruitment"",
    ""interviewing"",
    ""employee training and development"",
    ""conflict management"",
    ""labor law compliance"",
    ""performance appraisal"",
    ""job analysis"",
    ""employee orientation"",
    ""incentive and benefits program evaluation""
  ],
  ""tools_software"": null,
  ""responsibilities"": [
    ""Coordinate employee recruitment process including selection, interview, and orientation"",
    ""Create and implement employee orientation and training programs"",
    ""Observe and improve HR performance standards"",
    ""Conduct job analysis and create job descriptions as needed"",
    ""Monitor division performance and ensure performance appraisal processes are conducted"",
    ""Identify employee potential and recommend improvement areas"",
    ""Evaluate employee incentive, bonus, and benefit programs"",
    ""Ensure company regulations are updated, socialized, and implemented"",
    ""Manage HR department activities and tasks assigned by superiors""
  ],
  ""requirements"": [
    ""Bachelor's degree"",
    ""Minimum 3 years experience as HR Department Supervisor"",
    ""Maximum age 40 years""
  ]
}",people person firm disciplined responsible always think forward care hr development increase efficiency effective carrying duty work become hrd manager company willing placed bang kabel tung area master recruitment interview employee training development process firm disciplined empathy kind others direct embrace team help provide solution especially conflict management duty responsibility mastering matter relating labor law applicable law ensuring company regulation always updated socialized run well coordinating employee recruitment system starting selection interview orientation prospective employee creating employee orientation training program observing improving hr performance standard division job analysis creating new job description necessary required monitor performance division ensure performance appraisal process running able identify employee potential recommend area improvement periodically evaluate employee incentive bonus benefit program perform task assigned superior management relation hrd activity qualification minimum education bachelor degree three year experience position hrd supervisor maximum age forty year facility salary allowance incentive according target achievement b pjs official vehicle application awaited later february twenty eight two thousand twenty two make sure read understand requirement job description qualification well submitting application make sure right candidate one looking
244,"Job description: administrate set process recruitment, promotion, movement, transferring, rotation, mutation, termination, retirement, rehire; responsible for service personnel administration; organize, coordinate, monitor process employee performance appraisal; plan, develop, review within standard operating procedure; Human Resource Management; maintenance asset monitoring; asset managing; caring work environment; responsible work directed by superior.  

Requirement: minimum age twenty-five years old; Bachelor degree in Psychology, Human Resource Management, Business Management; mastering recruitment, training development, organization development; at least two years working experience in related field required for position; good communication skill; proficient in Microsoft Office application; fluent in English oral and written; full-time long-term commitment; knowledge of child protection; travel required; placement South Jakarta, Jati Padang.","{
  ""title"": ""Human Resource Administrator"",
  ""years_experience_required"": 2,
  ""education_required"": [""Bachelor degree in Psychology"", ""Bachelor degree in Human Resource Management"", ""Bachelor degree in Business Management""],
  ""key_skills"": [""recruitment"", ""training development"", ""organization development"", ""employee performance appraisal"", ""asset management"", ""human resource management"", ""communication"", ""child protection knowledge"", ""English fluency""],
  ""tools_software"": [""Microsoft Office""],
  ""responsibilities"": [""administrate recruitment, promotion, movement, transfer, rotation, mutation, termination, retirement, rehire processes"", ""manage personnel administration services"", ""organize, coordinate, and monitor employee performance appraisals"", ""plan, develop, and review processes within standard operating procedures"", ""maintain and monitor assets"", ""manage assets"", ""maintain work environment"", ""perform tasks directed by superior""],
  ""requirements"": [""minimum age 25 years"", ""bachelor degree in relevant field"", ""at least two years experience in related field"", ""good communication skills"", ""proficient in Microsoft Office"", ""fluent in English oral and written"", ""full-time long-term commitment"", ""knowledge of child protection"", ""willingness to travel"", ""placement in South Jakarta, Jati Padang""]
}",job description administrate set process recruitment promotion movement transferring rotation mutation termination retirement rehire responsible service personnel administration organize coordinate monitor process employee performance appraisal plan develop review within standard operating procedure human resource management maintenance asset monitoring asset managing caring work environment responsible work directed superior requirement minimum age twenty five year old bachelor degree psychology hrm business management mastering recruitment training development organization development least two year working experience related field required position good communication skill proficient microsoft office application fluent english oral written full time long term commitment knowledge child protection travel required placement south jakarta jati padang
245,qualification minimum education bachelor psychology maximum age thirty five year minimum work experience five year Human Resources Department two year Human Resources Department Supervisor accustomed working target making plan understand employment law background recruitment experience payroll calculation managing Business Process JavaScript good communication skill analytical skill time management leadership spirit like challenge good positioning professional honest thorough hard worker creative able work team job description control implementation recruitment personnel Manpower Planning employee relation function analyze process request addition change Manpower Planning create ensure accuracy completeness organizational structure control employee absence leave responsible Human Resources development including providing training coaching motivation improve employee performance,"{
  ""title"": ""Human Resources Department Supervisor"",
  ""years_experience_required"": 5,
  ""education_required"": [""Bachelor's degree in Psychology""],
  ""key_skills"": [""target setting"", ""planning"", ""employment law knowledge"", ""recruitment"", ""payroll calculation"", ""business process management"", ""JavaScript"", ""communication"", ""analytical skills"", ""time management"", ""leadership"", ""teamwork""],
  ""tools_software"": [""JavaScript""],
  ""responsibilities"": [""control implementation of recruitment"", ""manage personnel manpower planning"", ""handle employee relations"", ""analyze manpower planning requests"", ""create and ensure accuracy of organizational structure"", ""control employee absence and leave"", ""manage human resources development"", ""provide training, coaching, and motivation to improve employee performance""],
  ""requirements"": [""minimum age 35 years"", ""minimum 5 years experience in Human Resources Department"", ""minimum 2 years experience as Human Resources Department Supervisor"", ""accustomed to working with targets"", ""understand employment law"", ""background in recruitment"", ""experience in payroll calculation"", ""experience managing business processes"", ""good communication skills"", ""analytical skills"", ""time management"", ""leadership""]
}",qualification minimum education bachelor psychology maximum age thirty five year minimum work experience five year hrd two year hrd supervisor accustomed working target making plan understand employment law background recruitment experience payroll calculation managing b pjs good communication skill analytical skill time management leadership spirit like challenge good positioning professional honest thorough hard worker creative able work team job description control implementation recruitment personnel mpp employee relation function analyze process request addition change mpp create ensure accuracy completeness organizational structure control employee absence leave responsible hr development including providing training coaching motivation improve employee performance
246,"Job description: Participate in the recruitment process involving sourcing, screening, interviewing, handling administrative duties related to Human Resources, payroll, working time, personnel administration, various kinds of internal and outgoing letters, updating the Human Resources database, coordinating with external parties and departments. Responsible and able to maintain company and client confidentiality.  

Requirements: Candidate must possess at least a diploma or bachelor's degree in psychology, management, or equivalent. Multitasking skills, administrative document handling, easygoing, open-minded, good analytical thinking, problem-solving skills, good at managing tasks, time management, good personality, good communication skills, must be detail-oriented, ready to work sometimes under pressure and tight timelines, familiar with Microsoft Excel formulas, VLOOKUP, PivotTable, intermediate formulas in Microsoft Excel, fluent in English spoken and written, experience with third-party and government preferable.","{
  ""title"": ""Human Resources Officer"",
  ""years_experience_required"": null,
  ""education_required"": [""Diploma in Psychology"", ""Bachelor's Degree in Psychology"", ""Diploma in Management"", ""Bachelor's Degree in Management"", ""Equivalent qualification""],
  ""key_skills"": [""multitasking"", ""administrative document handling"", ""analytical thinking"", ""problem-solving"", ""task management"", ""time management"", ""communication skills"", ""detail orientation"", ""English fluency"", ""coordination with external parties"", ""coordination with departments""],
  ""tools_software"": [""Microsoft Excel"", ""VLOOKUP"", ""PivotTable""],
  ""responsibilities"": [""sourcing candidates"", ""screening candidates"", ""conducting interviews"", ""handling HR administrative duties"", ""managing payroll"", ""managing working time records"", ""personnel administration"", ""preparing internal and outgoing letters"", ""updating HR database"", ""coordinating with external parties"", ""coordinating with internal departments"", ""maintaining confidentiality""],
  ""requirements"": [""diploma or bachelor's degree in psychology, management, or equivalent"", ""familiarity with Microsoft Excel formulas including VLOOKUP and PivotTable"", ""fluent in spoken and written English"", ""experience with third-party and government processes preferable""]
}",job description participate recruitment process involving sourcing screening interviewing handling admin duty relation human resource pk wt personnel administration various kind internal outgoing letter updating hr database coordinate external party department responsible able maintain company client confidentially requirement candidate must posse least diploma bachelor degree psychology management equivalent multitasking skill administrative document handling easygoing open minded good analytical thinking problem solving skill good managing thing time management good personality good communication skill must detailed ready work sometimes pressure tight timeline familiar m excel formula vlookup pivottable intermediate formula m excel fluent english spoken written experience third party government preferable
247,"Job description: Lead team to produce product with guaranteed quality, monitor production process from start to finish, maintain product quality according to standard, create and implement options in operational activity, lead team operational activity run according to plan, lead team to serve customers well. Qualification: Maximum age thirty-five years, minimum education Bachelor according to position, experience leading team at least three years, interest in the field of food and beverage, high responsibility leader, relevant experience in related field at least two years. Work placement: Jakarta, Bandung area.","{
  ""title"": ""Production Team Leader"",
  ""years_experience_required"": 3,
  ""education_required"": [""Bachelor's degree in relevant field""],
  ""key_skills"": [""team leadership"", ""production process monitoring"", ""quality assurance"", ""customer service"", ""operational planning""],
  ""tools_software"": [],
  ""responsibilities"": [""lead team to produce product with guaranteed quality"", ""monitor production process from start to finish"", ""maintain product quality according to standard"", ""create and implement options in operational activity"", ""ensure operational activity runs according to plan"", ""lead team to serve customers""],
  ""requirements"": [""maximum age 35 years"", ""minimum education Bachelor's degree according to position"", ""experience leading team at least 3 years"", ""interest in food and beverage field"", ""relevant experience in related field at least 2 years"", ""work placement in Jakarta or Bandung""]
}",job description lead team produce product guaranteed quality monitor production process start finish maintain product quality according standard create implement opsin operational activity lead team operational activity run according plead team serve customer good qualification maximum age thirty five year minimum education bachelor according position experience leading team least three year interest field food beverage high responsibility leader relevant experience related field least two year work placement jakarta bandung area
248,Minimum education Bachelor minimum two year experience Human Resource Department high integrity creativity interpersonal communication skill strong personality knowledge employment law specific technical skill mastery required technology,"{
  ""title"": ""Human Resources Specialist"",
  ""years_experience_required"": 2,
  ""education_required"": [""Bachelor's degree""],
  ""key_skills"": [""interpersonal communication"", ""knowledge of employment law"", ""creativity""],
  ""tools_software"": [""technology mastery""],
  ""responsibilities"": [],
  ""requirements"": [""minimum two years experience in Human Resource Department"", ""Bachelor's degree"", ""knowledge of employment law"", ""specific technical skill mastery"", ""technology proficiency""]
}",minimum education bachelor minimum two year experience hrd high integrity creativity interpersonal communication skill strong personality knowledge employment law specific technical skill mastery required technology
249,maintaining good relationship employee finding employee company need training new employee maintaining server partner maintaining good relationship supplier business partner providing input business progress development,"{
  ""title"": null,
  ""years_experience_required"": null,
  ""education_required"": [],
  ""key_skills"": [""employee relations"", ""supplier relationship management"", ""business development"", ""training coordination"", ""server maintenance""],
  ""tools_software"": [],
  ""responsibilities"": [
    ""Maintain good relationships with employees"",
    ""Recruit new employees"",
    ""Coordinate training for new employees"",
    ""Maintain servers"",
    ""Maintain relationships with suppliers and business partners"",
    ""Provide input on business progress and development""
  ],
  ""requirements"": []
}",maintaining good relationship employee finding employee company need training new employee maintaining server partner maintaining good relationship supplier business partner providing input business progress development
